500 1012 
0 50.0 50.0
1 50.47767 50.14776
2 50.907867 50.621105
3 51.118896 51.40999
4 50.94213 52.4233
5 50.24758 53.491234
6 48.977592 54.382317
7 47.172863 54.833973
8 44.98572 54.59315
9 42.677017 53.461777
10 40.59507 51.34064
11 39.137722 48.2648
12 38.70084 44.424248
13 39.619164 40.164948
14 42.106796 35.96763
15 46.205673 32.404457
16 51.749985 30.076706
17 58.353317 29.539497
18 65.42305 31.221828
19 72.20337 35.35178
20 77.84495 41.896976
21 81.495544 50.529675
22 82.40292 60.623604
23 80.018654 71.28663
24 74.09066 81.42929
25 64.731926 89.86502
26 52.454876 95.43373
27 38.163647 97.13662
28 23.100737 94.26816
29 8.749474 86.529495
30 -3.3011856 74.10878
31 -11.51799 57.71599
32 -14.5954895 38.563953
33 -11.620831 18.292553
34 -2.2126274 -1.1610222
35 13.383919 -17.736702
36 34.259598 -29.455887
37 58.870842 -34.636383
38 85.13909 -32.09587
39 110.61533 -21.321373
40 132.69792 -2.5837402
41 148.88522 23.019236
42 157.0394 53.601578
43 155.63513 86.6122
44 143.96567 119.03628
45 122.28228 147.66019
46 91.84737 169.37772
47 54.88924 181.50911
48 14.456165 182.10172
49 -25.823105 170.1801
50 -62.054573 145.91669
51 -90.44377 110.700325
52 -107.676636 67.08861
53 -111.27948 18.640778
54 -99.92088 -30.359932
55 -73.621124 -75.27489
56 -33.842674 -111.53757
57 16.554901 -135.1027
58 73.5 -142.87357
59 132.02435 -133.06375
60 186.6858 -105.45404
61 232.06358 -61.51264
62 263.28174 -4.358799
63 276.5114 61.435776
64 269.4019 130.19809
65 241.3937 195.63193
66 193.87764 251.38379
67 130.17458 291.64673
68 55.32895 311.74567
69 -24.274887 308.64645
70 -101.445755 281.33606
71 -168.82481 231.02937
72 -219.57504 161.17456
73 -248.05722 77.245384
74 -250.42706 -13.670349
75 -225.09229 -103.457275
76 -172.97887 -183.68639
77 -97.57117 -246.39478
78 -4.711975 -284.85965
79 97.8313 -294.2932
80 201.00334 -272.38776
81 295.25003 -219.65262
82 371.3921 -139.50092
83 421.50427 -38.0663
84 439.71707 76.24506
85 422.86163 193.43735
86 370.88968 302.78824
87 287.0188 393.81924
88 177.5775 457.28622
89 51.55154 486.09705
90 -80.13884 476.068
91 -205.57397 426.43958
92 -312.90308 340.09366
93 -391.45117 223.43924
94 -432.7621 85.963486
95 -431.47733 -60.5233
96 -385.96118 -202.89056
97 -298.6043 -327.85397
98 -175.76343 -423.2031
99 -27.329231 -478.97742
100 134.0516 -488.47943
101 294.04163 -449.02277
102 437.87567 -362.33655
103 551.7124 -234.5745
104 623.95074 -75.91292
105 646.3875 100.23936
106 615.1029 278.361
107 530.98047 442.17593
108 399.80374 576.12585
109 231.89604 666.8397
110 41.33284 704.4425
111 -155.22423 683.59204
112 -339.97308 604.1323
113 -495.57288 471.28915
